ANZSCO,Occupation,National Shortage Rating,New South Wales Shortage Rating,Victoria Shortage Rating,Queensland Shortage Rating,South Australia Shortage Rating,Western Australia Shortage Rating,Tasmania Shortage Rating,Northern Territory Shortage Rating,Australian Capital Territory Shortage Rating,Skill Level
253313,Clinical Haematologist,Shortage,Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253314,Medical Oncologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253315,Endocrinologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253316,Gastroenterologist,Shortage,Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253317,Intensive Care Specialist,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253318,Neurologist,Shortage,No Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253321,Paediatrician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253322,Renal Medicine Specialist,Shortage,Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253323,Rheumatologist,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253324,Thoracic Medicine Specialist,Shortage,No Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253399,Specialist Physicians nec,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253411,Psychiatrist,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253511,Surgeon (General),Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253512,Cardiothoracic Surgeon,Shortage,Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253513,Neurosurgeon,Shortage,No Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253514,Orthopaedic Surgeon,Shortage,No Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253515,Otorhinolaryngologist,Shortage,Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253516,Paediatric Surgeon,Shortage,Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253517,Plastic and Reconstructive Surgeon,Shortage,No Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253518,Urologist,Shortage,No Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253521,Vascular Surgeon,Shortage,No Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253911,Dermatologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253912,Emergency Medicine Specialist,Shortage,No Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253913,Obstetrician and Gynaecologist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253914,Ophthalmologist,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253915,Pathologist,Shortage,No Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253917,Diagnostic and Interventional Radiologist,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
253918,Radiation Oncologist,Shortage,Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
253999,Medical Practitioners nec,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254111,Midwife,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254211,Nurse Educator,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254212,Nurse Researcher,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254311,Nurse Manager,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
254411,Nurse Practitioner,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
254412,Registered Nurse (Aged Care),Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
254413,Registered Nurse (Child and Family Health),Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
254414,Registered Nurse (Community Health),Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Regional Shortage,Shortage,1
254415,Registered Nurse (Critical Care and Emergency),Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
254416,Registered Nurse (Developmental Disability),Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
254417,Registered Nurse (Disability and Rehabilitation),Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
254418,Registered Nurse (Medical),Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
254421,Registered Nurse (Medical Practice),Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
254422,Registered Nurse (Mental Health),Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
254423,Registered Nurse (Perioperative),Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
254424,Registered Nurse (Surgical),Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
254425,Registered Nurse (Paediatrics),Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
254499,Registered Nurses nec,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
261111,ICT Business Analyst,No Shortage,No Shortage,Regional Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1
261112,Systems Analyst,No Shortage,No Shortage,Regional Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
261113,User Experience Designer (ICT),No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1
261211,Multimedia Specialist,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,1
261212,Web Developer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
261311,Analyst Programmer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
261312,Developer Programmer,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
261313,Software Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
261314,Software Tester,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
261315,Cyber Security Engineer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
261316,Devops Engineer,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
261317,Penetration Tester,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
261399,Software and Applications Programmers nec,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,1
262111,Database Administrator,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
262113,Systems Administrator,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1
262114,Cyber Governance Risk and Compliance Specialist,Shortage,Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
262115,Cyber Security Advice and Assessment Specialist,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
262116,Cyber Security Analyst,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
262117,Cyber Security Architect,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
262118,Cyber Security Operations Coordinator,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
263111,Computer Network and Systems Engineer,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,Shortage,No Shortage,Shortage,No Shortage,1
263112,Network Administrator,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
263113,Network Analyst,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
263211,ICT Quality Assurance Engineer,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
263212,ICT Support Engineer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1
263213,ICT Systems Test Engineer,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1
263299,ICT Support and Test Engineers nec,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
263311,Telecommunications Engineer,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
263312,Telecommunications Network Engineer,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
271111,Barrister,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
271214,Intellectual Property Lawyer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
271299,Judicial and Other Legal Professionals nec,No Shortage,No Shortage,Regional Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1
271311,Solicitor,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
272111,Careers Counsellor,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,1
272112,Drug and Alcohol Counsellor,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage,1
272113,Family and Marriage Counsellor,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,1
272114,Rehabilitation Counsellor,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
272115,Student Counsellor,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,1
272199,Counsellors nec,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage,1
272211,Minister of Religion,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
272311,Clinical Psychologist,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
272312,Educational Psychologist,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
272313,Organisational Psychologist,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,1
272314,Psychotherapist,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
272399,Psychologists nec,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
272411,Historian,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
272412,Interpreter,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1
272413,Translator,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
272414,Archaeologist,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
272499,Social Professionals nec,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1
272511,Social Worker,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,1
272611,Community Arts Worker,No Shortage,Shortage,No Shortage,Regional Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
272612,Recreation Officer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,1
272613,Welfare Worker,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,1
311112,Agricultural and Agritech Technician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,2
311113,Animal Husbandry Technician,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,2
311114,Aquaculture or Fisheries Technician,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,2
311115,Irrigation Designer,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,2
311211,Anaesthetic Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
311212,Cardiac Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
311213,Medical Laboratory Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
311214,Operating Theatre Technician,No Shortage,No Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
311215,Pharmacy Technician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
311216,Pathology Collector,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,3
311217,Respiratory Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
311299,Medical Technicians nec,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
311311,Fisheries Officer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
311312,Meat Inspector,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,2
311313,Biosecurity Officer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
311314,Primary Products Quality Assurance Officer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
311399,Primary Products Assurance and Inspection Officers nec,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
311411,Chemistry Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
311412,Earth Science Technician,Shortage,No Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage,2
311413,Life Science Technician,No Shortage,No Shortage,Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
311414,School Laboratory Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
311415,Hydrographer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
311499,Science Technicians nec,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
312111,Architectural Draftsperson,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,No Shortage,2
312112,Building Associate,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage,2
312113,Building Inspector,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
312114,Construction Estimator,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
312115,Plumbing Inspector,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
312116,Surveying or Spatial Science Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage,2
312199,"Architectural, Building and Surveying Technicians nec",No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
312211,Civil Engineering Draftsperson,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
312212,Civil Engineering Technician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
312311,Electrical Engineering Draftsperson,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,2
312312,Electrical Engineering Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,Shortage,No Shortage,2
312411,Electronic Engineering Draftsperson,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,2
312412,Electronic Engineering Technician,No Shortage,No Shortage,Shortage,No Shortage,Shortage,Shortage,No Shortage,No Shortage,No Shortage,2
312511,Mechanical Engineering Draftsperson,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
312512,Mechanical Engineering Technician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
312611,Safety Inspector,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,2
312911,Maintenance Planner,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,2
312912,Metallurgical or Materials Technician,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,2
312913,Mine Deputy,Regional Shortage,Shortage,Shortage,Regional Shortage,Regional Shortage,Regional Shortage,Regional Shortage,No Shortage,Shortage,2
312914,Other Draftsperson,No Shortage,Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
312999,Building and Engineering Technicians nec,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,2
313111,Hardware Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,2
313112,ICT Customer Support Officer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,2
313113,Web Administrator,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
313199,ICT Support Technicians nec,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,2
313211,Radiocommunications Technician,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,2
313212,Telecommunications Field Engineer,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
313213,Telecommunications Network Planner,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,2
313214,Telecommunications Technical Officer or Technologist,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,2
321111,Automotive Electrician,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
321211,Motor Mechanic (General),Shortage,Shortage,Regional Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
321212,Diesel Motor Mechanic,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
321213,Motorcycle Mechanic,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
321214,Small Engine Mechanic,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
322111,Blacksmith,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,3
322112,Electroplater,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
322113,Farrier,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
322114,Metal Casting Trades Worker,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
322115,Metal Polisher,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,3
322211,Sheetmetal Worker,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
322311,Metal Fabricator,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
322312,Pressure Welder,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
322313,Welder (First Class),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
323111,Aircraft Maintenance Engineer (Avionics),Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
323112,Aircraft Maintenance Engineer (Mechanical),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
323113,Aircraft Maintenance Engineer (Structures),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
323211,Fitter (General),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
323212,Fitter and Turner,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
323213,Fitter-Welder,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
323214,Metal Machinist (First Class),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
323215,"Textile, Clothing and Footwear Mechanic",No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,3
323299,Metal Fitters and Machinists nec,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,3
323311,Engraver,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,3
323312,Gunsmith,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,3
323313,Locksmith,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
323314,Precision Instrument Maker and Repairer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,3
323315,Saw Doctor,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,3
323316,Watch and Clock Maker and Repairer,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,3
323411,Engineering Patternmaker,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
323412,Toolmaker,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
324111,Panelbeater,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
324211,Vehicle Body Builder,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
324212,Vehicle Trimmer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
324311,Vehicle Painter,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
331111,Bricklayer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
331112,Stonemason,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
331211,Carpenter and Joiner,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
331212,Carpenter,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
331213,Joiner,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
332111,Floor Finisher,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
332211,Painter,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
333111,Glazier,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
333211,Plasterer (Wall and Ceiling),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
333212,Renderer (Solid Plaster),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
333311,Roof Tiler,Shortage,Shortage,No Shortage,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,3
333411,Wall and Floor Tiler,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
334112,Airconditioning and Mechanical Services Plumber,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
334113,Drainer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
334114,Gasfitter,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
334115,Roof Plumber,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
334116,Plumber (General),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
334117,Fire Protection Plumber,Shortage,Shortage,No Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
341111,Electrician (General),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
341112,Electrician (Special Class),Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
341113,Lift Mechanic,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,No Shortage,No Shortage,3
342111,Airconditioning and Refrigeration Mechanic,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,3
342211,Electrical Linesworker,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
342212,Technical Cable Jointer,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,Shortage,No Shortage,Shortage,3
342311,Business Machine Mechanic,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,Shortage,No Shortage,3
342312,Communications Operator,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,No Shortage,3
