Main field of highest non-school qualification,No longer interested in field of qualification/wanted career change,Comfortable in current job
Natural and physical sciences and Information technology,33.3,14.3
Engineering and related technologies and Architecture and building,42.4,19.8
Health,35.3,15.5
Management and commerce,45.9,16.5
Society and culture,39.7,18.1
Other,45.9,16.6
